GSM1014798_AFX_1_N1.CEL.gz,GSM1014799_AFX_1_N2.CEL.gz,GSM1014800_AFX_1_N3.CEL.gz,GSM1014801_AFX_1_N4.CEL.gz,GSM1014802_AFX_1_N5.CEL.gz,GSM1014803_AFX_1_T1.CEL.gz,GSM1014804_AFX_1_T2.CEL.gz,GSM1014805_AFX_1_T3.CEL.gz,GSM1014806_AFX_1_T4.CEL.gz,GSM1014807_AFX_1_T5.CEL.gz,GSM1014808_AFX_2_N1.CEL.gz,GSM1014809_AFX_2_N2.CEL.gz,GSM1014810_AFX_2_N3.CEL.gz,GSM1014811_AFX_2_N4.CEL.gz,GSM1014812_AFX_2_N5.CEL.gz,GSM1014813_AFX_2_T1.CEL.gz,GSM1014814_AFX_2_T2.CEL.gz,GSM1014815_AFX_2_T3.CEL.gz,GSM1014816_AFX_2_T4.CEL.gz,GSM1014817_AFX_2_T5.CEL.gz
4.498545,4.721863,4.956519,5.330877,4.927483,4.644953,4.68225,4.854564,5.206088,4.45677,4.754771,4.499589,4.824604,4.989789,4.493742,4.640044,4.308928,4.777697,4.72568,4.546992
7.04354,6.7434075,6.545475,6.8370235,6.7546405,6.6641865,6.6593955,6.860248,6.585311,6.136913,6.7968935,6.8487235,6.56799,7.0698695,6.588496,6.7172695,6.640108,6.821061,6.4364325,5.664017
9.551064,9.021545,9.714344,9.373494,9.392704,9.017715,8.926804,6.980998,7.820983,9.058824,9.43756,8.872059,9.655094,9.426058,9.423466,8.872746,8.836386,6.894101,7.874,9.039502
9.284452,8.786377,9.573856,9.005651,9.133956,8.63948,7.598351,5.834405,7.127493,7.936204,9.329021,8.797627,9.757343,9.054191,9.206533,8.863475,7.559475,6.085403,7.254712,8.128291
4.757748,4.931095,4.901266,5.22479,5.110845,5.38164,5.278075,4.29844,4.118672,4.960417,4.833347,4.906305,4.820006,4.786224,5.023166,5.550235,4.582454,4.047463,3.880147,4.432791
3.431364,3.328424,3.533581,3.461993,3.790757,3.394403,3.306186,4.030853,2.995712,3.558982,3.590169,3.608947,4.002922,3.39862,3.382351,3.997144,3.823735,4.589453,3.316879,3.89791
8.306809,8.452041,8.429336,8.216725,8.308985,8.211919,8.428494,8.02734,8.243027,8.20756,8.122598,8.390846,8.327403,8.257677,8.493718,8.300351,8.473898,8.007349,8.272544,8.1234
2.854105,3.147771,3.046691,3.106418,2.644392,2.641265,2.936269,2.776375,2.773707,2.812647,2.709282,2.734466,2.776319,2.525522,2.847754,2.668923,2.460794,2.54722,2.698194,3.004548
7.937691,7.922797,7.797379,7.964096,8.076471,7.84992,8.262949,8.03123,8.95852,8.480515,7.905287,8.060196,7.711701,7.908808,8.256716,8.039783,8.346591,7.907965,8.926339,8.680186
6.580749667,6.617639,6.60543,5.893483667,6.569858667,6.594354667,6.191276,5.692040333,4.971008333,4.980785,6.570541,6.398993,6.590040667,5.962663333,6.697119333,6.683267667,6.192103,5.677033667,5.1466,5.306497
5.188064,4.69955475,4.59499975,4.3474665,4.49680225,4.84592325,4.72950125,4.95775975,5.227205,4.44366775,5.1454955,4.60717475,4.49931725,4.58264025,4.49458375,4.7434585,4.8583705,4.7918005,5.199966,4.60398125
4.388762,4.353344333,4.147261,4.406919333,4.352708,4.335398333,4.420979333,4.601791667,4.406437667,4.735014667,4.285444,4.317524667,4.160517667,4.228713333,4.070402333,4.329841667,4.453473,4.722591,4.288923667,4.589069333
5.477967,5.520124,5.160227,5.205495,5.584268,5.176203,5.181213,6.168589,5.258519,4.718198,5.119733,5.428955,5.14906,5.372078,5.291653,5.0585,4.932604,5.878792,5.199988,5.175243
8.052472,7.667133,7.790247,7.590901,7.651586,7.796089,7.724186,7.982407,7.644744,7.915125,7.827367,7.656157,7.663189,7.701738,7.925819,7.950163,7.624312,8.141068,7.721834,7.510133
8.12491,8.197772,7.872652,7.759406,7.998955,8.143235,8.281911,7.978944,8.352298,7.287437,7.964174,8.18268,7.528803,7.944752,8.0532,8.071044,8.147653,7.650691,8.40491,7.524013
3.5209335,3.3927115,3.7636075,3.5269455,3.615533,3.510526,3.2763415,3.6195715,3.583658,3.9520895,3.2277485,3.4790375,3.4840835,3.312515,3.288461,3.2434615,3.26082,3.2028965,3.3740005,3.259178
7.933321,7.726177,7.407666,7.362211,7.783071,7.600165,7.483328,7.462956,7.928168,6.716409,7.891631,7.746325,7.499725,7.281669,8.002758,7.718179,7.255379,7.53183,7.822808,6.7379
11.110767,10.956482,10.298604,10.723104,10.565428,10.623668,10.295172,10.312357,8.229073,8.014807,11.115416,11.022611,10.367679,10.664577,10.594317,10.76099,10.5024,10.503855,8.449475,8.338019
5.001832667,4.583058333,4.492513333,4.921538667,4.845278667,4.865867667,4.888844333,4.733659,5.863559667,4.693647333,4.993535667,4.626578667,4.414955333,4.950177,4.850427333,5.131413667,4.804947,4.977694,5.870449,5.023361667
4.36035,4.415680667,4.507765667,4.199054333,4.157247,4.556367,4.207193333,4.080033333,4.079122333,4.684264,4.259494667,4.150305667,4.125710667,3.990084333,4.14154,4.381138333,3.902331,3.935520667,3.88068,3.831903667
6.9044375,6.794854,6.7705745,6.7298755,6.99781,6.4989275,6.351676,6.7540475,6.343327,5.5769855,7.0879765,6.624229,6.494184,6.637557,7.110081,6.595992,6.215805,6.746204,6.512235,6.0202145
9.377361,9.734972,9.539475,9.5482175,9.6972795,8.9760315,8.266444,8.4716535,8.1397615,9.074425,9.4394705,9.7714025,9.68413,9.5622475,9.840264,9.1944885,8.2066625,8.629199,8.2313635,9.2763485
6.046747,6.382668,6.2722905,6.55363,6.493974,6.3194055,6.2164245,5.63715,6.4967565,6.028839,6.0767435,6.25923,6.3569915,6.7371635,6.6026155,6.1905715,6.1008465,5.5982265,6.673516,6.1688965
6.019655667,6.641266333,5.787861,5.618768333,5.883258333,5.531461333,5.242306333,5.380258,5.009297667,5.4841895,6.052282833,6.571983167,5.799650167,5.551643,5.7701215,5.514418,5.1646095,5.232420167,4.88265,5.340826667
2.639358,2.980994,2.467516,2.9126465,2.6971835,2.7508835,2.646099,2.658417,2.535469,3.001077,2.774422,2.8655935,2.8047305,2.766882,2.689789,2.7674255,2.6226535,2.6685835,2.539112,2.710423
9.867014,9.461309,10.306131,9.402938,9.976362,9.532536,9.289382,8.70775,8.164924,9.18959,9.922043,9.176058,10.129772,9.59341,9.56666,8.860111,9.331443,8.837096,8.24664,9.137822
7.542447,8.454698,7.996854,7.284601,7.536164,6.778387,6.091035,6.151221,5.769035,6.241231,7.722512,8.15985,8.024754,7.445613,7.654889,7.35127,6.470804,5.879396,5.77695,6.026131
6.924218,6.1140675,6.823694,6.3013355,6.4993555,6.2748215,5.280086,5.6421685,5.533441,5.0772655,6.816788,6.0242775,6.741344,6.4488515,6.483155,6.0513765,5.4951895,5.5387025,5.713633,5.4165405
10.214264,10.75176,10.246507,10.324755,10.344442,9.727803,9.392661,9.327261,8.979435,8.193675,10.139032,10.814311,10.286499,10.256357,10.40779,10.074009,9.391634,9.574262,9.088915,8.347909
5.403531667,5.419313667,5.343337,5.273168,5.362477333,5.142227667,4.755846,4.675456,4.862063667,5.255580333,5.420166333,5.530827333,5.559961,5.287921667,5.537373,5.054909,4.843033,4.692131333,4.948748333,5.419325
7.956796,8.23295,8.68847,9.166464,8.793979,8.186514,8.031129,6.767372,8.375374,7.682539,8.043615,8.361825,8.73272,9.247813,8.949784,8.126761,8.003982,6.753775,8.468678,7.741606
3.075802,3.20744,3.347132,3.715971,3.569003,3.379405,3.260874,3.278892,3.140709,3.432987,3.466376,3.622288,3.480859,3.516033,3.359469,3.436562,3.622288,3.326986,3.226197,3.296674
4.3622815,4.6022575,4.2785225,4.768821,4.5338875,4.590904,4.5012325,4.8202185,4.7111925,4.748422,4.4113,4.618002,4.2503355,4.300524,4.2492785,4.439302,4.6259495,5.102416,4.7997435,5.1007375
4.275713333,4.082508333,3.888603333,4.200471667,4.190968333,4.203533333,4.024444667,3.943614,4.133565,4.104141667,3.947235,4.076449,4.058999333,4.034088,3.964682333,4.410960333,3.834871333,3.807482333,3.901739667,3.839400333
7.927866333,7.461079667,7.836395,8.122097667,8.102047,7.852286,7.872061333,7.701938,8.601652333,7.523894,7.861652333,7.494859667,7.894919333,8.126622,8.319431667,8.109062667,7.925893333,7.908809333,8.59633,7.489003333
